# Column info
#------------
#   1. Redshift
#   2. Omega_m
#   3. Omega_DE
#   4. w
#   5. D_A (ang. diam. distance, in h^{-1} Mpc
#   6. D_L (luminosity distance, in h^{-1} Mpc
#   7. DM (distance modulus), in mags + 5 log h
#   8. t_l (lookback time), in h^{-1} years
#   9. 4*PI*D_L^2, in h^{-2} Mpc^2
#  10. 4*PI*D_L^2, in h^{-2} cm^2
#  11. Physical distance subtending 1 arcsec, in h^{-1} kpc
#  12. Angle subtended by 1 h^{-1} Mpc, in arcmin
#  13. Angle subtended by 1 h^{-1} COMOVING Mpc, in arcmin
#
#
#  z   Om_m Om_L  w   D_A  D_L  DM     t_l     4*PI*DL^2 4*PI*DL^2 1asec  1Mpc  1Mpc
#----- ---- ---- ---- ---- ---- ----- --------- --------- --------- ----- ----- -----
 4.500 0.30 0.70 -1.0  953 28817 47.30 8.525e+09 1.044e+10 1.003e+59  4.62  3.61  0.66
 4.550 0.30 0.70 -1.0  948 29195 47.33 8.537e+09 1.071e+10 1.029e+59  4.60  3.63  0.65
 4.600 0.30 0.70 -1.0  943 29574 47.35 8.549e+09 1.099e+10 1.056e+59  4.57  3.65  0.65
 4.650 0.30 0.70 -1.0  938 29953 47.38 8.561e+09 1.127e+10 1.083e+59  4.55  3.66  0.65
 4.700 0.30 0.70 -1.0  934 30333 47.41 8.572e+09 1.156e+10 1.111e+59  4.53  3.68  0.65
 4.750 0.30 0.70 -1.0  929 30713 47.44 8.584e+09 1.185e+10 1.139e+59  4.50  3.70  0.64
 4.800 0.30 0.70 -1.0  924 31093 47.46 8.595e+09 1.215e+10 1.168e+59  4.48  3.72  0.64
 4.850 0.30 0.70 -1.0  920 31475 47.49 8.606e+09 1.245e+10 1.196e+59  4.46  3.74  0.64
 4.900 0.30 0.70 -1.0  915 31856 47.52 8.616e+09 1.275e+10 1.226e+59  4.44  3.76  0.64
 4.950 0.30 0.70 -1.0  911 32238 47.54 8.627e+09 1.306e+10 1.255e+59  4.41  3.78  0.63
 5.000 0.30 0.70 -1.0  906 32621 47.57 8.637e+09 1.337e+10 1.285e+59  4.39  3.79  0.63
 5.050 0.30 0.70 -1.0  902 33004 47.59 8.647e+09 1.369e+10 1.315e+59  4.37  3.81  0.63
 5.100 0.30 0.70 -1.0  897 33388 47.62 8.657e+09 1.401e+10 1.346e+59  4.35  3.83  0.63
 5.150 0.30 0.70 -1.0  893 33772 47.64 8.666e+09 1.433e+10 1.377e+59  4.33  3.85  0.63
 5.200 0.30 0.70 -1.0  889 34156 47.67 8.676e+09 1.466e+10 1.409e+59  4.31  3.87  0.62
 5.250 0.30 0.70 -1.0  884 34541 47.69 8.685e+09 1.499e+10 1.441e+59  4.29  3.89  0.62
 5.300 0.30 0.70 -1.0  880 34927 47.72 8.694e+09 1.533e+10 1.473e+59  4.27  3.91  0.62
 5.350 0.30 0.70 -1.0  876 35312 47.74 8.703e+09 1.567e+10 1.506e+59  4.25  3.93  0.62
 5.400 0.30 0.70 -1.0  872 35699 47.76 8.712e+09 1.601e+10 1.539e+59  4.23  3.94  0.62
 5.450 0.30 0.70 -1.0  867 36085 47.79 8.720e+09 1.636e+10 1.573e+59  4.21  3.96  0.61
 5.500 0.30 0.70 -1.0  863 36473 47.81 8.729e+09 1.672e+10 1.606e+59  4.19  3.98  0.61
 5.550 0.30 0.70 -1.0  859 36860 47.83 8.737e+09 1.707e+10 1.641e+59  4.17  4.00  0.61
 5.600 0.30 0.70 -1.0  855 37248 47.86 8.745e+09 1.743e+10 1.675e+59  4.15  4.02  0.61
 5.650 0.30 0.70 -1.0  851 37637 47.88 8.753e+09 1.780e+10 1.711e+59  4.13  4.04  0.61
 5.700 0.30 0.70 -1.0  847 38025 47.90 8.760e+09 1.817e+10 1.746e+59  4.11  4.06  0.61
 5.750 0.30 0.70 -1.0  843 38415 47.92 8.768e+09 1.854e+10 1.782e+59  4.09  4.08  0.60
 5.800 0.30 0.70 -1.0  839 38804 47.94 8.775e+09 1.892e+10 1.818e+59  4.07  4.10  0.60
 5.850 0.30 0.70 -1.0  835 39194 47.97 8.783e+09 1.930e+10 1.855e+59  4.05  4.12  0.60
 5.900 0.30 0.70 -1.0  831 39585 47.99 8.790e+09 1.969e+10 1.892e+59  4.03  4.13  0.60
 5.950 0.30 0.70 -1.0  828 39975 48.01 8.797e+09 2.008e+10 1.930e+59  4.01  4.15  0.60
 6.000 0.30 0.70 -1.0  824 40366 48.03 8.804e+09 2.048e+10 1.968e+59  3.99  4.17  0.60
